,Image_1_Actin_Ki67,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_4_Antibody_Control,Image_5_Ki67_Actin_2_Full,Image_7_COXI_COXII,Image_8_3NT
0,0.1389201111111111,0.1578441111111111,0.2805054444444444,0.9154501111111111,1.7551881111111112,6.656400777777778,1.3674497777777779
1,0.17359933333333333,0.5351265555555555,0.32449066666666665,1.328471888888889,1.9587502222222222,7.531160888888889,1.4373852222222223
2,0.20872533333333335,0.8986887777777778,0.36598533333333333,1.4583434444444445,2.0923295555555557,7.916988,1.518429888888889
3,0.24264233333333332,1.2943858888888888,0.4237964444444444,1.484605,2.254639777777778,8.069427666666666,1.607823
4,0.2736963333333333,1.5352304444444445,0.494461,1.525569,2.403459,8.322632333333333,1.6978484444444444
5,0.3044351111111111,1.5904427777777779,0.5505314444444445,1.571628888888889,2.4932393333333334,8.537658888888888,1.8308054444444444
6,0.3358618888888889,1.6484113333333332,0.6067883333333334,1.6296163333333333,2.618841777777778,8.597408,1.9833264444444445
7,0.37259844444444445,1.7278884444444444,0.6682495555555555,1.6860533333333334,2.7409517777777777,8.522871222222221,2.0896635555555556
8,0.41955355555555557,1.8315683333333332,0.7208102222222222,1.6931603333333334,2.8194458888888887,8.36985788888889,2.2038736666666665
9,0.45525055555555555,1.9611644444444445,0.757068,1.686144111111111,2.8758825555555556,8.243838444444444,2.2892825555555554
10,0.5025627777777778,2.1148336666666667,0.7811563333333333,1.680285888888889,2.8842154444444446,8.107554777777779,2.353696111111111
11,0.5654047777777778,2.1980326666666667,0.8045831111111111,1.673394888888889,2.869202,7.916681666666666,2.441920777777778
12,0.6161133333333333,2.234527,0.8182382222222222,1.663837,2.8401775555555555,7.726849111111111,2.5252043333333334
13,0.6874036666666666,2.2455837777777776,0.8174266666666666,1.6295692222222222,2.8203,7.558483777777778,2.605558333333333
14,0.7590244444444444,2.232035888888889,0.805376,1.5806365555555555,2.8250273333333333,7.466486222222223,2.6639968888888887
15,0.8004294444444444,2.215828,0.8018648888888888,1.5246216666666668,2.8412874444444443,7.3782964444444445,2.7264065555555557
16,0.8475632222222222,2.2169571111111113,0.8016324444444445,1.4807255555555556,2.8783126666666665,7.273208444444444,2.8220945555555557
17,0.8954604444444444,2.2012654444444446,0.8046708888888889,1.4353854444444445,2.941501777777778,7.1308562222222225,2.9060858888888887
18,0.9312465555555556,2.2158407777777778,0.8029694444444444,1.393674,2.989032111111111,6.98676,3.033708888888889
19,0.9727835555555555,2.227087,0.8064405555555556,1.3616423333333334,3.047220222222222,6.849748666666667,3.155800888888889
20,1.014458,2.239169111111111,0.8080824444444444,1.326363,3.125291,6.733396666666667,3.2225727777777777
21,1.0640184444444445,2.2208995555555555,0.8228841111111111,1.3041845555555556,3.172166,6.586305666666667,3.320429
22,1.1177152222222222,2.164069,0.8365318888888889,1.3030594444444445,3.291948777777778,6.487243666666667,3.422291
23,1.170223,2.0965035555555556,0.8634736666666667,1.3269576666666667,3.4691685555555556,6.382247,3.5014232222222224
24,1.2251302222222222,2.063942111111111,0.8869028888888889,1.3349333333333333,3.647003111111111,6.335531333333333,3.6240346666666667
25,1.2673842222222222,2.062367222222222,0.9157578888888889,1.3198138888888888,3.894277888888889,6.296868555555555,3.7701295555555556
26,1.2988872222222223,2.051932888888889,0.9542223333333333,1.310818,4.148123444444445,6.27364,3.886452888888889
27,1.3294773333333334,2.0339627777777776,0.9759466666666666,1.3148166666666667,4.388274222222222,6.2237672222222225,4.033913
28,1.3484267777777779,2.010864222222222,1.0163027777777778,1.3421277777777778,4.624942222222222,6.186335777777778,4.192066555555556
29,1.370352888888889,1.987239,1.0406196666666667,1.3891855555555555,4.823669333333333,6.133217444444444,4.337955222222222
30,1.385812,1.9736642222222223,1.0719935555555555,1.4220744444444444,5.002728777777778,6.083244666666666,4.500913111111111
31,1.3842717777777778,1.9890577777777778,1.104419111111111,1.4668472222222222,5.124952,6.062751888888889,4.686076777777778
32,1.3707012222222221,2.004712777777778,1.1302637777777778,1.5054196666666666,5.177331,6.064424222222223,4.894745555555556
